,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
62,1962,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.457174388540073
63,1963,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.44480031998856
64,1964,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.362911171542821
65,1965,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.302928770551697
66,1966,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.243154767538195
67,1967,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.390974155574504
68,1968,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.500007085817677
69,1969,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.224165653824407
70,1970,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.261750901198658
71,1971,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.465145298678083
72,1972,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.509065139644592
73,1973,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.502102904011982
74,1974,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.591474108206553
75,1975,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.579337707793632
76,1976,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.603643695799256
77,1977,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.61119651552849
78,1978,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.53343392013123
79,1979,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.517174345095533
80,1980,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.449300926005568
81,1981,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.543210976441438
82,1982,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.620362680201593
83,1983,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.38062607070898
84,1984,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.34078088319833
85,1985,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.458374569441288
86,1986,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.508433467157111
87,1987,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.637421394022345
88,1988,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.66124018493367
89,1989,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.801210571844463
90,1990,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.926922949966205
91,1991,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.74564824178251
92,1992,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.493384906863582
